frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
72,2.4,133.3862,57.5534,0.021691,0.027087,0.017632,0.007312,0.056308,0
73,2.4333,133.5019,57.5631,0.022139,0.027409,0.017632,0.006792,0.031414,0
74,2.4667,133.6937,57.3784,0.022417,0.027308,0.017632,0.006464,0.063672,0
75,2.5,133.6448,57.578,0.022327,0.027611,0.017632,0.007674,0.068359,0
76,2.5333,133.7127,57.556,0.022448,0.027438,0.017632,0.006019,0.032699,0
77,2.5667,133.8824,57.5148,0.022785,0.027144,0.017632,0.006393,0.0316,0
78,2.6,133.9552,57.5365,0.022839,0.02708,0.017632,0.006036,0.030888,0
79,2.6333,134.0836,57.5298,0.022905,0.026823,0.017632,0.004794,0.029479,0
80,2.6667,134.2725,57.4845,0.023021,0.026648,0.017632,0.006648,0.052442,0
81,2.7,134.5225,57.4795,0.023391,0.026494,0.017632,0.006235,0.059288,0
82,2.7333,134.5062,57.5045,0.023315,0.026325,0.017632,0.005457,0.017138,0
83,2.7667,134.5157,57.4742,0.023315,0.026205,0.017632,0.005463,0.015495,0
84,2.8,134.5117,57.4381,0.023335,0.026286,0.017632,0.004365,0.019598,0
85,2.8333,134.5326,57.3506,0.02353,0.026209,0.018578,0.006132,0.02175,0
86,2.8667,133.9883,57.4201,0.023174,0.026148,0.017632,0.045609,0.056596,0
87,2.9,133.9278,57.4907,0.023223,0.026341,0.017632,0.005061,0.020513,0
88,2.9333,133.0662,58.1088,0.023829,0.026564,0.017632,0.121766,0.049196,0
89,2.9667,131.7491,58.8722,0.023195,0.026444,0.017632,0.121697,0.091093,0
90,3.0,131.894,62.2012,0.023944,0.026698,0.017544,0.073055,0.07066,0
91,3.0333,130.9853,62.707,0.023995,0.026569,0.017544,0.052937,0.151222,0
92,3.0667,131.0535,62.6621,0.023366,0.026523,0.017706,0.005694,0.024219,0
93,3.1,131.1628,62.4481,0.023316,0.026334,0.017544,0.005584,0.077537,0
94,3.1333,131.1136,62.5799,0.023197,0.026154,0.017544,0.004826,0.028703,0
95,3.1667,131.1971,62.469,0.023243,0.026088,0.01754,0.006064,0.028505,0
