frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
75,2.5,55.4182,29.4881,0.019395,0.0,0.0,0.005634,0.043955,0
76,2.5333,55.3993,29.5644,0.019517,0.0,0.0,0.007634,0.042473,0
77,2.5667,55.4179,29.6831,0.019478,0.0,0.0,0.00686,0.052075,0
78,2.6,55.419,29.7291,0.01947,0.0,0.0,0.006892,0.012155,0
79,2.6333,55.3902,29.7332,0.019424,0.0,0.0,0.007286,0.0224,0
80,2.6667,55.418,29.6881,0.019464,0.0,0.0,0.005592,0.008586,0
81,2.7,55.4428,29.6945,0.019487,0.0,0.0,0.008434,0.014804,0
82,2.7333,55.4462,29.6879,0.019574,0.0,0.0,0.004292,0.008674,0
83,2.7667,55.4586,29.6562,0.019556,0.0,0.0,0.004296,0.01408,0
84,2.8,55.4236,29.6881,0.019627,0.0,0.0,0.005981,0.021648,0
85,2.8333,55.4466,29.7563,0.019656,0.0,0.0,0.005738,0.040971,0
86,2.8667,55.4528,29.7508,0.019685,0.0,0.0,0.005135,0.00741,0
87,2.9,55.4624,29.8626,0.019753,0.0,0.0,0.008496,0.033572,0
88,2.9333,55.473,29.8883,0.019735,0.0,0.0,0.004487,0.017833,0
89,2.9667,55.4989,29.9093,0.019826,0.0,0.0,0.007191,0.018585,0
90,3.0,55.506,29.9914,0.019828,0.0,0.0,0.005851,0.023912,0
91,3.0333,55.5188,29.9858,0.019838,0.0,0.0,0.004639,0.008601,0
92,3.0667,55.5536,30.0489,0.019944,0.0,0.0,0.006551,0.02447,0
93,3.1,55.57,30.059,0.019894,0.0,0.0,0.005302,0.007203,0
94,3.1333,55.6104,30.1295,0.019783,0.0,0.0,0.007256,0.02252,0
95,3.1667,55.6236,30.109,0.019769,0.0,0.0,0.00614,0.012067,0
96,3.2,55.6493,30.1202,0.019783,0.0,0.0,0.007149,0.017127,0
97,3.2333,55.6375,30.0891,0.019773,0.0,0.0,0.005754,0.0074,0
98,3.2667,55.6333,30.0891,0.019667,0.0,0.0,0.005217,0.018502,0
99,3.3,55.6287,30.1608,0.01972,0.0,0.0,0.007201,0.018742,0
100,3.3333,55.634,30.1318,0.019737,0.0,0.0,0.002338,0.00688,0
101,3.3667,55.6571,30.1916,0.019709,0.0,0.0,0.005994,0.01455,0
102,3.4,55.665,30.2168,0.01983,0.0,0.0,0.003935,0.010105,0
103,3.4333,55.7071,30.2625,0.019784,0.0,0.0,0.004255,0.02666,0
104,3.4667,55.7025,30.2802,0.019731,0.0,0.0,0.004415,0.007637,0
105,3.5,55.6903,30.4093,0.019733,0.0,0.0,0.005949,0.029515,0
106,3.5333,55.696,30.4628,0.019657,0.0,0.0,0.006518,0.006122,0
107,3.5667,55.6977,30.4649,0.019715,0.0,0.0,0.00851,0.013859,0
108,3.6,55.7499,30.4469,0.019833,0.0,0.0,0.005413,0.017301,0
109,3.6333,55.7674,30.4934,0.019809,0.0,0.0,0.006769,0.018107,0
110,3.6667,55.775,30.4751,0.019811,0.0,0.0,0.004334,0.006799,0
111,3.7,55.7629,30.4673,0.019768,0.0,0.0,0.005618,0.019821,0
112,3.7333,55.7043,30.4742,0.019812,0.0,0.0,0.005795,0.015552,0
113,3.7667,55.7069,30.4748,0.01981,0.0,0.0,0.003498,0.004695,0
114,3.8,55.7304,30.4766,0.019819,0.0,0.0,0.0064,0.010288,0
115,3.8333,55.7315,30.4644,0.019869,0.0,0.0,0.005478,0.007791,0
116,3.8667,55.7565,30.4884,0.019918,0.0,0.0,0.005515,0.023299,0
117,3.9,55.7571,30.4877,0.019916,0.0,0.0,0.003416,0.004892,0
118,3.9333,55.7211,30.5065,0.019927,0.0,0.0,0.005414,0.01775,0
